lad18nm,areaID,value
Blaenau Gwent,W06000019,64
Bridgend,W06000013,40
Caerphilly,W06000018,38
Cardiff,W06000015,35
Carmarthenshire,W06000010,27
Ceredigion,W06000008,7
Conwy,W06000003,20
Denbighshire,W06000004,22
Flintshire,W06000005,20
Gwynedd,W06000002,8
Isle of Anglesey,W06000001,18
Merthyr Tydfil,W06000024,50
Monmouthshire,W06000021,5
Neath Port Talbot,W06000012,45
Newport,W06000022,40
Pembrokeshire,W06000009,15
Powys,W06000023,11
Rhondda Cynon Taf,W06000016,45
Swansea,W06000011,31
Torfaen,W06000020,42
Vale of Glamorgan,W06000014,19
Wrexham,W06000006,28
